Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,intensity,azimuth,distance_m
0.7681230784,-1.8544131535,-0.4633991719,92,103,2.06
0.960389121,-2.3185844412,0.0438055402,250,89,2.51
0.7725555642,-1.8651141207,-0.5409318043,133,105,2.09
0.7970334478,-1.9072395373,0.5538727565,83,75,2.14
1.0332077128,-2.4723863291,-0.0467724493,250,91,2.68
0.792730164,-1.8969421114,0.4746467247,91,77,2.11
0.9087311282,-2.1745234675,-0.1235128567,231,93,2.36
0.7872794349,-1.8838989372,0.3968827104,78,79,2.08
0.7797569594,-1.8658982338,-0.1769261578,77,95,2.03
0.7883322039,-1.8864181322,0.3238193426,78,81,2.07
0.796036608,-1.9048541765,-0.2534882343,190,97,2.08
0.7807282116,-1.8682223655,0.2486134605,79,83,2.04
0.7845238358,-1.8773050012,-0.322254998,179,99,2.06
1.0716856733,-2.5644611194,0.2431645223,250,85,2.79
0.7910644322,-1.8929561436,-0.3987908003,173,101,2.09
0.7932144594,-1.8981009928,0.1078120699,185,87,2.06
0.781459119,-1.8699713704,-0.467898193,99,103,2.08
1.0409182181,-2.4908369733,0.0471214974,250,89,2.7
0.778411171,-1.8626778659,-0.5409318043,136,105,2.09
0.8101905895,-1.9226687886,0.5590491374,69,75,2.16
1.0288910489,-2.4416683335,-0.0462488771,250,91,2.65
0.80213868,-1.9035607474,0.4768962352,91,77,2.12
0.9306905693,-2.2086281088,-0.125606295,238,93,2.4
0.792865602,-1.8815547431,0.3968827104,78,79,2.08
0.7852897505,-1.8635764386,-0.1769261578,80,95,2.03
0.793925841,-1.8840708034,0.3238193426,79,81,2.07
0.8016849118,-1.9024839072,-0.2534882343,190,97,2.08
0.7901221487,-1.8750442355,0.249832154,78,83,2.05
0.793925841,-1.8840708034,-0.3238193426,181,99,2.07
1.0522108973,-2.4970088241,0.2370636203,250,85,2.72
0.8004893097,-1.8996466157,-0.4006988903,175,101,2.1
0.8182321255,-1.9417522123,0.1104288677,222,87,2.11
0.7832203149,-1.8586654467,-0.4656486825,99,103,2.07
