,X,Y,Z,ref,phjj,r
27,-0.5583374466748453,-1.9639611528336014,-0.3968827103832132,35.0,101.0,2.08
28,-0.5680081746011313,-1.9979780973891927,0.10885878898532346,60.0,87.0,2.08
29,-0.5595386262974295,-1.9681863219143783,-0.4723972141221166,0.0,103.0,2.1
30,-0.5604986302486854,-1.971563151604133,0.035777433196431375,68.0,89.0,2.05
31,-0.5546894649992378,-1.9511293172835948,-0.5435199947152938,0.0,105.0,2.1
32,-0.56423014382282,-2.008658359888515,0.5590491374214448,55.0,75.0,2.16
33,-0.5543020261763859,-1.9733142778205979,-0.035777433196431126,66.0,91.0,2.05
34,-0.5665276983200808,-2.0168376500217122,0.48364476683930957,53.0,77.0,2.15
35,-0.5509260765190196,-1.9612959027371832,-0.10676535073560543,57.0,93.0,2.04
36,-0.5601286500676944,-1.9940570490414107,0.40260698024450975,61.0,79.0,2.11
37,-0.5576649209271752,-1.9852861774586281,-0.18041238748765254,58.0,95.0,2.07
38,-0.5609161920517481,-1.9968606971756893,0.32851237658448496,63.0,81.0,2.1
39,-0.5556224824644209,-1.9780150999777737,-0.25226954084865505,51.0,97.0,2.07
40,-0.5556224824644209,-1.9780150999777737,0.25226954084865527,67.0,83.0,2.07
41,-0.5502320741079053,-1.9588252553247238,-0.3222549979828755,37.0,99.0,2.06
42,-0.5603589543616061,-1.9948769319391049,0.18128394491512895,66.0,85.0,2.08
43,-0.5495100974597761,-1.9562550196756967,-0.3949746204294477,38.0,101.0,2.07
44,-0.5563273125633238,-1.980524293940489,0.10781206986046457,59.0,87.0,2.06
45,-0.548082610467799,-1.9511731683930984,-0.4678981930352393,0.0,103.0,2.08
46,-0.5543020261763859,-1.9733142778205979,0.035777433196431375,68.0,89.0,2.05
47,-0.5407205544968691,-1.9249642615598266,-0.5357554233622182,0.0,105.0,2.07
48,-0.563082881489438,-2.0290360354232586,0.5642255183234952,56.0,75.0,2.18
49,-0.5480999513668688,-1.9750459282217996,-0.035777433196431126,66.0,91.0,2.05
50,-0.5549777718076763,-1.9998297495353776,0.47914574575243224,55.0,77.0,2.13
51,-0.5447617751458953,-1.9630170066054435,-0.10676535073560543,59.0,93.0,2.04
52,-0.5538613812744748,-1.9958069019299254,0.40260698024450975,62.0,79.0,2.11
53,-0.5460974388610392,-1.967829992221461,-0.17866927263269936,59.0,95.0,2.05
54,-0.5493578246904052,-1.9795786007383245,0.32538368728368033,67.0,81.0,2.08
55,-0.5467514996014454,-1.970186861618963,-0.2510508474146036,53.0,97.0,2.06
56,-0.5494056330946563,-1.9797508755103173,0.25226954084865527,69.0,83.0,2.07
57,-0.5414343945266012,-1.9510269863045986,-0.32069065333247315,37.0,99.0,2.05
58,-0.5487613288067029,-1.9774291629152245,0.17954083006017577,68.0,85.0,2.06
59,-0.5433616394493663,-1.9579716999976045,-0.3949746204294477,34.0,101.0,2.07
60,-0.5501025768630119,-1.9822622713760851,0.10781206986046457,64.0,87.0,2.06
61,-0.5393445951370374,-1.9434965171540992,-0.4656486824918006,0.0,103.0,2.07
62,-0.5480999513668688,-1.9750459282217996,0.035777433196431375,71.0,89.0,2.05
63,-0.5372533915128581,-1.9359609879267787,-0.5383436138132434,0.0,105.0,2.08
