Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,intensity,laser_id,azimuth,distance_m
-2.5178599011,-1.6627459249,0.370482804,67,8,83,3.04
-2.9918086953,-1.9757325314,-0.5678571081,92,9,99,3.63
-3.0175753195,-1.9927483111,0.3163753462,111,10,85,3.63
0,0,0,55,11,101,0
-2.2332969267,-1.4748260466,0.1402603627,54,12,87,2.68
-1.9432519032,-1.2832859293,-0.5376330199,43,13,103,2.39
-2.2693946244,-1.4986642672,0.0474705455,73,14,89,2.72
-2.9178275234,-1.926876798,-0.9369249433,49,15,105,3.62
-2.6945842273,-1.7916335812,0.8670438011,66,16,75,3.35
-2.0981550022,-1.3950667871,-0.0439800642,79,17,91,2.52
-2.2475371555,-1.4943912318,0.6231144205,46,18,77,2.77
-2.361706498,-1.5703026196,-0.1486341157,82,19,93,2.84
-2.3868911053,-1.5870479073,0.5571622665,69,20,79,2.92
-2.6214071932,-1.7429780482,-0.2754121471,62,21,95,3.16
-2.3934044503,-1.5913786413,0.4552242933,110,22,81,2.91
-2.1985458374,-1.4618168221,-0.3241724535,18,23,97,2.66
-2.5126238141,-1.6706477967,0.370482804,66,24,83,3.04
-2.9526879645,-1.9632471898,-0.5615997295,65,25,99,3.59
-3.0030044428,-1.9967027008,0.3155037887,127,26,85,3.62
0,0,0,58,27,101,0
-2.2286526108,-1.4818348663,0.1402603627,51,28,87,2.68
-2.1177155147,-1.4080726047,-0.5871222518,34,29,103,2.61
-2.2563492286,-1.5002503941,0.0472960214,78,30,89,2.71
-2.7911066473,-1.8558115005,-0.8981020865,40,31,105,3.47
-2.6809156628,-1.7947166089,0.8644556106,63,0,75,3.34
-2.102070503,-1.4072135491,-0.0441545883,69,1,91,2.53
-2.2428313035,-1.5014446919,0.6231144205,43,2,77,2.77
-2.3401646877,-1.5666037134,-0.1475873966,75,3,93,2.82
-2.3574219683,-1.5781564558,0.5514379966,67,4,79,2.89
-2.6241967623,-1.7567466145,-0.2762837045,66,5,95,3.17
-2.3801856474,-1.5933954107,0.4536599486,91,6,81,2.9
-2.1774467538,-1.457673551,-0.3217350666,42,7,97,2.64
-2.4991150243,-1.6730116892,0.3692641105,66,8,83,3.03
0,0,0,49,9,99,0
-2.9967168074,-2.0061270487,0.3155037887,137,10,85,3.62
0,0,0,58,11,101,0
-2.2073893863,-1.4777183963,0.1392136436,54,12,87,2.66
-2.2833156231,-1.5285465817,-0.6343619732,25,13,103,2.82
-2.243316347,-1.5017694003,0.0471214974,86,14,89,2.7
-2.9056630836,-1.9451718935,-0.9369249433,60,15,105,3.62
