"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.077153,7.0164,-0.49067,64.0,9.0,63.0,7.034,254260285.0
0.033831,3.0766,-1.3699,5.0,10.0,63.0,3.368,254260285.0
0.076994,7.002,-0.32655,82.0,11.0,63.0,7.01,254260285.0
0.036241,3.2958,-1.3767,5.0,12.0,63.0,3.572,254260285.0
0.077123,7.0137,-0.16285,102.0,13.0,63.0,7.016,254260285.0
0.038593,3.5097,-1.3706,4.0,14.0,63.0,3.768,254260285.0
0.077099,7.0116,0.0,60.0,15.0,63.0,7.012,254260285.0
0.041453,3.7698,-1.3722,5.0,16.0,63.0,4.012,254260285.0
0.077277,7.0277,0.16317,76.0,17.0,63.0,7.03,254260285.0
0.04473,4.0678,-1.3746,4.0,18.0,63.0,4.294,254260285.0
0.077126,7.014,0.32711,76.0,19.0,63.0,7.022,254260285.0
0.048409,4.4024,-1.3738,4.0,20.0,63.0,4.612,254260285.0
0.077109,7.0125,0.49039,48.0,21.0,63.0,7.03,254260285.0
0.052995,4.8195,-1.382,4.0,22.0,63.0,5.014,254260285.0
0.077204,7.0211,0.65507,75.0,23.0,63.0,7.052,254260285.0
0.057907,5.2662,-1.3787,7.0,24.0,63.0,5.444,254260285.0
0.07732,7.0317,0.82235,82.0,25.0,63.0,7.08,254260285.0
0.063938,5.8146,-1.3778,2.0,26.0,63.0,5.976,254260285.0
0.077264,7.0265,0.98757,82.0,27.0,63.0,7.096,254260285.0
0.071156,6.471,-1.3755,6.0,28.0,63.0,6.616,254260285.0
0.077164,7.0175,1.153,81.0,29.0,63.0,7.112,254260285.0
0.077128,7.0142,-1.3216,66.0,30.0,63.0,7.138,254260285.0
0.077106,7.0122,1.3212,75.0,31.0,63.0,7.136,254260285.0
0.032611,2.3066,-1.3681,3.0,0.0,81.0,2.682,254260285.0
0.091649,6.4824,-1.0651,2.0,1.0,81.0,6.57,254260285.0
0.034262,2.4234,-1.3618,3.0,2.0,81.0,2.78,254260285.0
0.099002,7.0025,-0.98423,81.0,3.0,81.0,7.072,254260285.0
0.036273,2.5656,-1.3643,3.0,4.0,81.0,2.906,254260285.0
0.098989,7.0016,-0.81886,44.0,5.0,81.0,7.05,254260285.0
0.038353,2.7127,-1.3627,8.0,6.0,81.0,3.036,254260285.0
0.09912,7.0109,-0.65415,72.0,7.0,81.0,7.042,254260285.0
0.040786,2.8848,-1.3656,3.0,8.0,81.0,3.192,254260285.0
0.099111,7.0102,-0.49025,52.0,9.0,81.0,7.028,254260285.0
0.043444,3.0729,-1.3683,5.0,10.0,81.0,3.364,254260285.0
0.098906,6.9957,-0.32627,74.0,11.0,81.0,7.004,254260285.0
0.046438,3.2846,-1.3721,3.0,12.0,81.0,3.56,254260285.0
0.099043,7.0054,-0.16266,101.0,13.0,81.0,7.008,254260285.0
0.049618,3.5095,-1.3706,6.0,14.0,81.0,3.768,254260285.0
0.099042,7.0053,0.0,49.0,15.0,81.0,7.006,254260285.0
0.053296,3.7697,-1.3722,5.0,16.0,81.0,4.012,254260285.0
0.099326,7.0254,0.16313,75.0,17.0,81.0,7.028,254260285.0
0.057616,4.0752,-1.3771,4.0,18.0,81.0,4.302,254260285.0
0.099075,7.0077,0.32683,65.0,19.0,81.0,7.016,254260285.0
0.062266,4.4041,-1.3744,4.0,20.0,81.0,4.614,254260285.0
0.098913,6.9962,0.48927,41.0,21.0,81.0,7.014,254260285.0
0.068244,4.827,-1.3843,3.0,22.0,81.0,5.022,254260285.0
0.09912,7.0109,0.65415,69.0,23.0,81.0,7.042,254260285.0
0.074205,5.2486,-1.3741,6.0,24.0,81.0,5.426,254260285.0
0.099326,7.0254,0.82165,82.0,25.0,81.0,7.074,254260285.0
0.08226,5.8183,-1.3787,2.0,26.0,81.0,5.98,254260285.0
0.099226,7.0183,0.98646,67.0,27.0,81.0,7.088,254260285.0
0.091457,6.4688,-1.3751,6.0,28.0,81.0,6.614,254260285.0
0.099099,7.0093,1.1517,80.0,29.0,81.0,7.104,254260285.0
0.099135,7.0119,-1.3212,75.0,30.0,81.0,7.136,254260285.0
0.098969,7.0001,1.319,75.0,31.0,81.0,7.124,254260285.0
0.039219,2.2927,-1.3599,3.0,0.0,98.0,2.666,254260285.0
0.11065,6.4683,-1.0629,2.0,1.0,98.0,6.556,254260285.0
0.041542,2.4285,-1.3647,3.0,2.0,98.0,2.786,254260285.0
0.11964,6.9942,-0.98312,81.0,3.0,98.0,7.064,254260285.0
0.043915,2.5672,-1.3652,3.0,4.0,98.0,2.908,254260285.0
0.11983,7.0052,-0.81933,51.0,5.0,98.0,7.054,254260285.0
0.04631,2.7072,-1.36,6.0,6.0,98.0,3.03,254260285.0
0.11972,6.9986,-0.65303,76.0,7.0,98.0,7.03,254260285.0
0.049345,2.8847,-1.3656,3.0,8.0,98.0,3.192,254260285.0
0.11981,7.0039,-0.48983,64.0,9.0,98.0,7.022,254260285.0
0.052749,3.0837,-1.3731,6.0,10.0,98.0,3.376,254260285.0
0.11953,6.9874,-0.3259,86.0,11.0,98.0,6.996,254260285.0
0.056215,3.2863,-1.3729,4.0,12.0,98.0,3.562,254260285.0
0.11976,7.0011,-0.16257,102.0,13.0,98.0,7.004,254260285.0
